id,question_preview,image
Q044,What is the purpose of the Recycle Bin?,
Q045,When is deduplication recommended?,
Q046,Refer to the exhibit. What action can be taken to prevent this alert policy from creating multiple alerts within a 48- hour period if the 90% threshold is crossed multiple times?,./images/q046_exhibit.png
Q047,"Refer to the exhibit. After logging into Prism Element, an administrator sees a red heart as shown in the exhibit. Which dashboard will help the administrator isolate the cause of ",./images/q047_exhibit.png
Q048,Which statement best describes the Storage pool?,
Q049,"How can an administrator work with Nutanix Support to recover a deleted VM, in its most up-to- date status, within a 24-hour period of the VM being deleted?",
Q050,An administrator is creating a Linux VM and must decide which is the correct timezone to choose. Which timezone should the administrator select for this VM?,
Q051,An administrator needs to license a new cluster using Nutanix Cloud Platform Package Licensing. How can the administrator satisfy this task?,
Q052,What is the purpose of Life Cycle Management (LCM)?,
Q053,Which option is supported by Nutanix for Data-at-Rest encryption?,
Q054,"An administrator is building a new Windows VM on a Nutanix AHV cluster. However, when the administrator tries to install the OS, no disks are listed as available. What does the adm",
Q055,How many copies of the metadata are maintained within a Redundancy Factor 3 cluster?,
Q056,"An administrator needs to verify whether the cluster is protected currently from potential data loss due to a component failure. From the Prism Element Home dashboard, how should t",
Q057,An administrator is considering a data protection strategy between two sites. There is a 10ms round trip latency between the two clusters. Which data protection solution can the ad,
Q058,An administrator wants to create a storage container for an application that has built- in redundancy. What should the administrator do?,
Q059,What minimum number of clusters must be registered to Prism Central to open a support case from the UI?,
Q060,What is the benefit of configuring user-defined Alert Policies in Prism Central?,
Q061,An administrator would like to configure a cluster to perform an LCM inventory automatically. At what frequency will the inventory run by default?,
Q062,Which hypervisor supports integrated IP address management (IPAM)?,
Q063,"In Prism Element, to which object are policies such as replication factor and storage efficiency settings applied?",
