id,topic,question,optionA,optionB,optionC,optionD,correctLetter,correctAnswerIndex,image
Q017,NCA 6.10,"When multiple Alert policies are applied to an entity, which will take precedence?",Policy are applied to an entity type in a cluster.,Policy are applied to all entities of an entity type.,Policy are applied to an entity type in a category.,Policy are applied to a specific entity.,C,2,
Q018,NCA 6.10,"An administrator needs to implement a disaster recovery plan. The company has two sites, each with its own Nutanix AHV cluster. Latency between the sites is 30ms. Which built-in functionality in Prism Element could the administrator use to enable disaster recovery between the two clusters?",Data Protection,Recovery Plan,Protection Policies,Metro Cluster,A,0,
Q019,NCA 6.10,"An administrator is configuring Erasure Coding on a Redundancy Factor 2 cluster. How many nodes, at a minimum, are necessary?",3,4,5,6,B,1,
Q020,NCA 6.10,"For dark site clusters, what should be downloaded prior to running an LCM inventory or updates?",Nutanix Prism Central,Nutanix Foundation Platform,Nutanix Foundation,Nutanix Compatibility Bundle,D,3,
Q021,NCA 6.10,"On a newly-deployed AHV cluster, what is the default virtual switch (vsO) uplink bond type?",Balance-SLB,No Uplink Bond,Balance-TCP,Active-Backup,D,3,
Q022,NCA 6.10,At what time does LCM auto-inventory run by default?,1:00am,2:00am,3:00am,4:00am,C,2,
Q023,NCA 6.10,An administrator receives the alert: What is the most likely cause?,Another node in this cluster is already in maintenance mode.,This node in the cluster may not have enough resources available.,This node in the cluster is already in maintenance mode.,Other nodes in the cluster may not have enough resources available.,A,0,
Q024,NCA 6.10,Which Nutanix Disaster Recovery component or feature provides the best Recovery Time Objective (RTO)?,Async,Availability Zone,Metro Availability,NearSync,C,2,
Q025,NCA 6.10,What is the default admin session log out time?,5minutes,1minutes,15 minutes,2minutes,C,2,
Q026,NCA 6.10,An administrator is performing AHV upgrades on an 8-node cluster configured with Redundancy Factor 3. How many nodes would be placed into maintenance mode simultaneously?,1,2,3,4,A,0,
Q027,NCA 6.10,An administrator needs to ensure that the three VMs of an application cluster are never placed onto the same hypervisor by creating a VM­ VM Anti-Affinity Policy. What should the administrator use to complete this task?,acli,Prism Element,ncli,Prism Central,D,3,
Q028,NCA 6.10,An administrator needs to create a VM Template from an existing VM. What is required for this action to be successful?,Windows OS is installed.,The VM is powered on.,The VM is powered off.,Sysprep or Cloud-init script.,C,2,
Q029,NCA 6.10,"After starting LCM updates, an administrator would like to see a detailed view of each update as it progresses. Which Prism Element dashboard should the administrator use to monitor the LCM updates?",Tasks,Alerts,Analysis,Hardware,A,0,
Q030,NCA 6.10,An administrator has been directed to ensure that all Prism Element and Prism Central clusters allow Nutanix Support to gather logs without needing engagement. What should the administrator enable to meet this requirement?,NKP,Proxy Server,Self-Service,Pulse,D,3,
Q031,NCA 6.10,"Nutanix Support has asked an administrator to provide an NCC output, but there is no access to the command line. What should the administrator do to provide the requested NCC output?",Configure email in Alert Settings and Run Health Checks in the Alert Dashboard.,Run Health Checks in the Event Dashboard.,Configure email in Alert Settings and Run Health Checks in the Health Dashboard.,Run Health Checks in the Alert Dashboard and enter an email to send it to.,C,2,
Q032,NCA 6.10,An administrator wants to apply tags to licenses to simplify future renewals. What interface would be used to complete this operation?,Prism Central Licensing,Clusters in the Support Portal,License Inventory in the Support Portal,Prism Element Licensing,C,2,
Q033,NCA 6.10,An administrator is looking to upgrade their licensing on a Nutanix cluster. Which licensing levels are available for a Nutanix cluster?,"Starter, Pro, Dedicated","Community Edition, Pro, Enterprise","Starter, Pro, Ultimate","Mixed, Advanced, Enterprise",C,2,
Q034,NCA 6.10,Which Nutanix offering allows for extending an on-prem datacenter into the public cloud?,Nutanix Kubernetes Engine,Nutanix Cloud Clusters,Nutanix Cloud Security,Nutanix Data Services,B,1,
Q035,NCA 6.10,Which storage protocol is supported for a datastore when using ESXi as the hypervisor within a Nutanix cluster?,LVM,SMB,iSCSI,NFS,D,3,
Q036,NCA 6.10,An administrator needs to license a new AOS-based cluster with no add-on packages via Nutanix Cloud Platform Package Licensing. What license type would fulfill this requirement?,Nutanix Database Service (NOB),Nutanix Cloud Manager (NCM),Nutanix Unified Storage (NUS),Nutanix Cloud Infrastructure (NCI),D,3,
Q037,NCA 6.10,"When configuring dual encryption, which key management method is supported?",External Key Manager,Native Key Manager,Lockdown Mode Enabled,Trusted Platform Module,A,0,
Q038,NCA 6.10,"An administrator wants to change from Redundancy Factor 2 to 3, but it is not allowed. What must the administrator check?",Check that the cluster has been properly licensed.,"Check AOS version and upgrade, if needed.",Check that the cluster has five or more nodes.,Check hardware availability of the nodes.,C,2,./images/q038_exhibit.png
Q039,NCA 6.10,Refer to the exhibit. What should be first selected to run a full health check?,Actions,Checks,Failed,Scheduled,A,0,
Q040,NCA 6.10,"A Veeam Backup appliance, which uses iSCSI, must be deployed into an AHV-based cluster. What must be configured to allow Veeam to connect to the Nutanix cluster?",Network Segmentation,Prism Central,Data Services IP,Nutanix Objects,C,2,
Q041,NCA 6.10,An administrator needs to configure a solution that ensures VMs automatically power on in a specific order at the DR site in the event of a disaster. Which feature will achieve this?,Protection Policy,Recovery Plan,Resource Scheduling,Category,B,1,
Q042,NCA 6.10,What is the purpose of the Oplog?,Persistent data storage,Persistent write buffer,Global metadata,Dynamic read cache,B,1,
Q043,NCA 6.10,What role does a Replication Factor of 2 or 3 play in ensuring data integrity and recovery?,It limits the scope of hardware failures during recovery operations.,It reduces the need for offsite backup solutions.,It ensures that multiple copies of data are available for recovery.,It accelerates data transfer to remote backup sites.,C,2,
Q044,NCA 6.10,What is the purpose of the Recycle Bin?,Stores the Oplog's most recent deleted data in case of a CVM failure.,Allow administrators to undo the last five actions.,Centralizes the deleted data from the different VMs in the cluster.,Keeps deleted VMs for 24 hours for recovery.,D,3,
Q045,NCA 6.10,When is deduplication recommended?,Linked Clone VMs,Cold data,Server workloads,Full clone VMs,D,3,./images/q045_exhibit.png
Q046,NCA 6.10,Refer to the exhibit. What action can be taken to prevent this alert policy from creating multiple alerts within a 48- hour period if the 90% threshold is crossed multiple times?,Set Ignore all anomalies between to 90% and 100%.,Select the Auto resolve alerts checkbox and click Save.,Select highest value in Trigger alert if conditions persist for.,"After alert occurs, uncheck Enable Policy box for 48 hours.",A,0,./images/q046_exhibit.png
Q047,NCA 6.10,"Refer to the exhibit. After logging into Prism Element, an administrator sees a red heart as shown in the exhibit. Which dashboard will help the administrator isolate the cause of the issue?",Tasks,Health,Analysis,Alerts,B,1,
Q048,NCA 6.10,Which statement best describes the Storage pool?,Group of boot drives,Group of physical disks,Group of vDisks,Group of Storage Containers,B,1,
Q049,NCA 6.10,"How can an administrator work with Nutanix Support to recover a deleted VM, in its most up-to- date status, within a 24-hour period of the VM being deleted?",Use Nutanix Recovery Plan.,Use the Recycle Bin.,Use NC2 on AWS.,Use third party tools.,B,1,
Q050,NCA 6.10,An administrator is creating a Linux VM and must decide which is the correct timezone to choose. Which timezone should the administrator select for this VM?,UTC,Eastern,Local,Central,A,0,
Q051,NCA 6.10,An administrator needs to license a new cluster using Nutanix Cloud Platform Package Licensing. How can the administrator satisfy this task?,"From the My Nutanix Licensing Summary page, click Manage Licenses and follow the specified process.","From Prism Central Licensing, follow the specified process.","From the Nutanix Portal Licensing Summary page, click Manage Licenses and follow the specified process.","From Prism Element Licensing, follow the specified process.",A,0,
Q052,NCA 6.10,What is the purpose of Life Cycle Management (LCM)?,To optimize server performance,To manage network configurations,To automate application deployment,To simplify Software and firmware upgrades,D,3,
Q053,NCA 6.10,Which option is supported by Nutanix for Data-at-Rest encryption?,Storage Pool-only Encryption,Data-only Encryption,Cluster-only Encryption,Software-only Encryption,D,3,
Q054,NCA 6.10,"An administrator is building a new Windows VM on a Nutanix AHV cluster. However, when the administrator tries to install the OS, no disks are listed as available. What does the administrator need to do to resolve the issue?",Enable Turbo Mode on the VM.,Add a second disk to the VM.,Mount and Install the Nutanix Guest Tools.,Mount and install the VirtlO drivers.,D,3,
Q055,NCA 6.10,How many copies of the metadata are maintained within a Redundancy Factor 3 cluster?,2,3,5,7,C,2,
Q056,NCA 6.10,"An administrator needs to verify whether the cluster is protected currently from potential data loss due to a component failure. From the Prism Element Home dashboard, how should the administrator accomplish this task?",Select the gear icon and then select Pulse.,Look at the Data Resiliency Status widget.,Click on Home and then Alerts.,Navigate to the Health dashboard.,B,1,
Q057,NCA 6.10,An administrator is considering a data protection strategy between two sites. There is a 10ms round trip latency between the two clusters. Which data protection solution can the administrator implement that minimizes data loss in the event of a disaster?,NearSync Replication,Metro Availability,Async DR,Synchronous Replication,A,0,
Q058,NCA 6.10,An administrator wants to create a storage container for an application that has built- in redundancy. What should the administrator do?,Enable RF1 and create an RF1 storage container.,Create an RF1 storage container.,Create an RF1 storage container and enable RF1.,RF1 is enabled by default in a storage container.,A,0,
Q059,NCA 6.10,What minimum number of clusters must be registered to Prism Central to open a support case from the UI?,0,1,2,3,B,1,
Q060,NCA 6.10,What is the benefit of configuring user-defined Alert Policies in Prism Central?,It customizes alert thresholds.,It restricts network access for administrators.,It automates VM migrations.,It reduces the frequency of system updates,A,0,
Q061,NCA 6.10,An administrator would like to configure a cluster to perform an LCM inventory automatically. At what frequency will the inventory run by default?,Every 4 hours,Every 8 hours,Every 12 hours,Every 24 hours,D,3,
Q062,NCA 6.10,Which hypervisor supports integrated IP address management (IPAM)?,ESXi,Hyper-V,AHV,XenServer,C,2,
Q063,NCA 6.10,"In Prism Element, to which object are policies such as replication factor and storage efficiency settings applied?",Container,Virtual Machine,Storage Pool,vBlock,A,0,./images/q063_exhibit.png
